SalePrice,MSZoning,LotArea,Utilities,Condition1,Condition2,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,HeatingQC,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageArea,GarageQual,GarageCond,PoolArea,PoolQC,Fence,MiscFeature,MiscVal
129500,RL,11200,AllPub,Norm,Norm,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,1040,GasA,Ex,1040,3,1,TA,5,0,,384,TA,TA,0,,,,0
345000,RL,11924,AllPub,Norm,Norm,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,Ex,TA,1175,GasA,Ex,2324,4,1,Ex,11,2,Gd,736,TA,TA,0,,,,0
144000,RL,12968,AllPub,Norm,Norm,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,TA,TA,912,GasA,TA,912,2,1,TA,4,0,,352,TA,TA,0,,,,0
279500,RL,10652,AllPub,Norm,Norm,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1494,GasA,Ex,1494,3,1,Gd,7,1,Gd,840,TA,TA,0,,,,0
157000,RL,10920,AllPub,Norm,Norm,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,1253,GasA,TA,1253,2,1,TA,5,1,Fa,352,TA,TA,0,,GdWo,,0
132000,RM,6120,AllPub,Norm,Norm,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,832,GasA,Ex,854,2,1,TA,5,0,,576,TA,TA,0,,GdPrv,,0
149000,RL,11241,AllPub,Norm,Norm,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,1004,GasA,Ex,1004,2,1,TA,5,1,TA,480,TA,TA,0,,,Shed,700
90000,RL,10791,AllPub,Norm,Norm,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,,,0,GasA,TA,1296,2,2,TA,6,0,,516,TA,TA,0,,,Shed,500
159000,RL,13695,AllPub,RRAe,Norm,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,TA,TA,1114,GasA,Ex,1114,3,1,Gd,6,0,,576,TA,TA,0,,,,0
139000,RL,7560,AllPub,Norm,Norm,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,TA,TA,1029,GasA,TA,1339,3,1,TA,6,0,,294,TA,TA,0,,MnPrv,,0
325300,RL,14215,AllPub,Norm,Norm,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1158,GasA,Ex,2376,4,1,Gd,9,1,Gd,853,TA,TA,0,,,,0
139400,RM,7449,AllPub,Norm,Norm,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,637,GasA,Ex,1108,3,1,Gd,6,1,Gd,280,TA,TA,0,,GdPrv,,0
230000,RL,9742,AllPub,Norm,Norm,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1777,GasA,Ex,1795,3,1,Gd,7,1,Gd,534,TA,TA,0,,,,0
129900,RM,4224,AllPub,Norm,Norm,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,Gd,TA,1040,GasA,TA,1060,3,1,TA,6,1,TA,572,TA,TA,0,,,,0
154000,RL,8246,AllPub,Norm,Norm,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,TA,TA,1060,GasA,Ex,1060,3,1,Gd,6,1,TA,270,TA,TA,0,,MnPrv,,0
256300,RL,14230,AllPub,Norm,Norm,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1566,GasA,Ex,1600,3,1,Gd,7,1,Gd,890,TA,TA,0,,,,0
134800,RL,7200,AllPub,Norm,Norm,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,900,GasA,TA,900,3,1,Gd,5,0,,576,TA,TA,0,,,,0
306000,RL,11478,AllPub,Norm,Norm,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1704,GasA,Ex,1704,3,1,Gd,7,1,Gd,772,TA,TA,0,,,,0
207500,RL,16321,AllPub,Norm,Norm,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,1484,GasA,TA,1600,2,1,TA,6,2,Gd,319,TA,TA,0,,,,0
68500,RM,6324,AllPub,Feedr,RRNn,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,520,GasA,Fa,520,1,1,Fa,4,0,,240,Fa,TA,0,,,,0
40000,C (all),8500,AllPub,Feedr,Norm,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,TA,TA,649,GasA,TA,1317,3,1,TA,6,0,,250,TA,Fa,0,,MnPrv,,0
149350,RL,8544,AllPub,Norm,Norm,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,1228,GasA,Gd,1228,3,1,Gd,6,0,,271,TA,TA,0,,MnPrv,,0
179900,RL,11049,AllPub,Norm,Norm,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1234,GasA,Ex,1234,3,1,Gd,7,0,,484,TA,TA,0,,,,0
165500,RL,10552,AllPub,Norm,Norm,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,1398,GasA,Gd,1700,4,1,Gd,6,1,Gd,447,TA,TA,0,,,,0
277500,RL,7313,AllPub,Norm,Norm,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,1561,GasA,Ex,1561,2,1,Ex,6,1,Gd,556,TA,TA,0,,,,0
309000,RL,13418,AllPub,Norm,Norm,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1117,GasA,Ex,2452,4,1,Gd,9,1,Gd,691,TA,TA,0,,,,0
145000,RL,10859,AllPub,Norm,Norm,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,1097,GasA,Ex,1097,3,1,TA,6,0,,672,TA,TA,0,,,,0
153000,RL,8532,AllPub,Norm,Norm,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,1297,GasA,Gd,1297,3,1,TA,5,1,TA,498,TA,TA,0,,,,0
109000,RL,7922,AllPub,Norm,Norm,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,1057,GasA,TA,1057,3,1,Gd,5,0,,246,TA,TA,0,,,,0
82000,RL,6040,AllPub,Norm,Norm,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,,,0,GasA,TA,1152,2,2,Fa,6,0,,0,,,0,,,,0
160000,RL,8658,AllPub,Norm,Norm,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,1088,GasA,Ex,1324,3,1,TA,6,1,TA,440,TA,TA,0,,GdWo,,0
170000,RL,16905,AllPub,Norm,Norm,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,1350,GasA,Gd,1328,2,1,TA,5,2,Gd,308,TA,TA,0,,,,0
144000,RL,9180,AllPub,Norm,Norm,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,840,GasA,Gd,884,2,1,Gd,5,0,,504,TA,Gd,0,,MnPrv,,0
130250,RL,9200,AllPub,Norm,Norm,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,Gd,TA,938,GasA,TA,938,3,1,TA,5,0,,308,TA,TA,0,,MnPrv,,0
141000,RL,7945,AllPub,Norm,Norm,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,1150,GasA,Ex,1150,3,1,TA,6,0,,300,TA,TA,0,,,,0
319900,RL,7658,AllPub,Norm,Norm,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,1752,GasA,Ex,1752,2,1,Ex,6,1,Gd,576,TA,TA,0,,,,0
239686,RL,12822,AllPub,Norm,Norm,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1434,GasA,Ex,2149,1,1,Gd,6,1,Ex,670,TA,TA,0,,,,0
249700,FV,11096,AllPub,Norm,Norm,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1656,GasA,Ex,1656,3,1,Gd,7,0,,826,TA,TA,0,,,,0
113000,RM,4456,AllPub,Norm,Norm,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,736,GasA,Gd,1452,2,3,TA,8,0,,0,,,0,,,,0
127000,RL,7742,AllPub,Norm,Norm,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,955,GasA,Ex,955,3,1,TA,6,0,,386,TA,TA,0,,MnPrv,,0
177000,RL,13869,AllPub,Norm,Norm,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,794,GasA,Gd,1470,3,1,TA,6,0,,388,TA,TA,0,,,,0
114500,RM,6240,AllPub,Norm,Norm,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,816,GasA,TA,1176,3,1,TA,6,1,Gd,528,TA,TA,0,,MnPrv,Shed,400
110000,RM,8472,AllPub,RRNn,Norm,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,TA,CBlock,Gd,TA,816,GasA,TA,816,2,1,TA,5,0,,516,TA,TA,0,,,,0
385000,RL,50271,AllPub,Norm,Norm,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Gd,TA,CBlock,Ex,TA,1842,GasA,Gd,1842,0,1,Gd,5,1,Gd,894,TA,TA,0,,,,0
130000,RL,7134,AllPub,Norm,Norm,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,384,GasA,TA,1360,3,1,TA,6,1,TA,572,TA,TA,0,,MnPrv,,0
180500,RL,10175,AllPub,Norm,Norm,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,TA,TA,1425,GasA,Gd,1425,3,1,TA,7,1,Gd,576,TA,TA,0,,,,0
172500,FV,2645,AllPub,Norm,Norm,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,970,GasA,Ex,1739,3,1,Gd,7,0,,480,TA,TA,0,,,,0
196500,RL,11645,AllPub,Norm,Norm,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,860,GasA,Ex,1720,3,1,Gd,7,0,,565,TA,TA,0,,,,0
438780,RL,13682,AllPub,Norm,Norm,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,1410,GasA,Ex,2945,3,1,Gd,10,1,Gd,641,TA,TA,0,,,,0
124900,RL,7200,AllPub,Norm,Norm,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,780,GasA,Ex,780,2,1,TA,4,0,,352,TA,TA,0,,MnPrv,,0
158000,RL,13072,AllPub,RRAe,Norm,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,1158,GasA,Ex,1158,3,1,Gd,5,0,,576,TA,TA,0,,,,0
101000,RM,7200,AllPub,Norm,Norm,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,Fa,530,GasA,TA,1111,3,1,Fa,6,0,,288,TA,TA,0,,,,0
202500,RL,6442,AllPub,Norm,Norm,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,Gd,1370,GasA,Ex,1370,2,1,Gd,6,1,Gd,484,TA,TA,0,,,,0
140000,RM,10300,AllPub,RRAn,Feedr,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,TA,TA,576,GasA,Gd,1710,3,1,TA,9,0,,480,TA,TA,0,,GdPrv,,0
219500,RL,9375,AllPub,Norm,Norm,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,1057,GasA,Ex,2034,3,1,Gd,8,0,,645,TA,TA,0,,GdPrv,,0
317000,RL,9591,AllPub,Norm,Norm,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1143,GasA,Ex,2473,4,1,Gd,9,1,Gd,852,TA,TA,0,,,,0
180000,RL,19900,AllPub,PosA,Norm,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,Gd,TA,1947,GasA,TA,2207,3,1,TA,7,1,Gd,576,TA,TA,0,,,,0
226000,RL,10665,AllPub,Norm,Norm,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1453,GasA,Ex,1479,3,1,Gd,7,0,,558,TA,TA,0,,,,0
80000,RM,4608,AllPub,Artery,Norm,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,747,GasA,TA,747,2,1,TA,4,0,,220,TA,TA,0,,,,0
225000,RL,15593,AllPub,Norm,Norm,7,4,1953,1953,Gable,CompShg,BrkFace,AsbShng,Gd,TA,CBlock,TA,TA,1304,GasW,TA,2287,3,1,TA,7,1,TA,667,TA,TA,0,,,,0
244000,RL,13651,AllPub,Norm,Norm,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,Gd,TA,2223,GasA,Ex,2223,3,1,TA,8,2,Gd,516,TA,TA,0,,,,0
129500,RL,7599,AllPub,Norm,Norm,4,6,1982,2006,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,TA,TA,845,GasA,TA,845,2,1,TA,4,0,,360,TA,TA,0,,,,0
185000,RL,10141,AllPub,Norm,Norm,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,832,GasA,Gd,1718,3,1,TA,7,1,TA,427,TA,TA,0,,,,0
144900,RL,10200,AllPub,Norm,Norm,5,7,1954,2003,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,1086,GasA,Gd,1086,3,1,TA,6,0,,490,TA,TA,0,,GdWo,,0
107400,RM,5790,AllPub,Norm,Norm,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,Gd,Gd,CBlock,Fa,TA,840,GasA,Gd,1605,3,2,TA,8,0,,379,TA,TA,0,,,,0
91000,RM,1596,AllPub,Norm,Norm,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,TA,TA,CBlock,Gd,TA,462,GasA,TA,988,2,1,TA,5,0,,297,TA,TA,0,,GdWo,,0
135750,RL,8475,AllPub,Norm,Norm,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,952,GasA,Ex,952,2,1,TA,4,0,,283,TA,TA,0,,,,0
127000,RM,8635,AllPub,Norm,Norm,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,672,GasA,TA,1285,2,1,TA,6,0,,240,TA,TA,0,,MnPrv,,0
136500,RL,10778,AllPub,Norm,Norm,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,1768,GasA,TA,1768,4,2,TA,8,0,,0,,,0,,,,0
110000,RM,10440,AllPub,Norm,Norm,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,440,GasA,Gd,1230,2,1,TA,5,0,,440,TA,TA,0,,MnPrv,,0
193500,RL,13000,AllPub,Norm,Norm,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,Gd,TA,896,GasA,TA,2142,4,1,Gd,8,1,Gd,509,TA,TA,0,,,,0
153500,RM,4500,AllPub,Norm,Norm,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,TA,Gd,PConc,Ex,Gd,1237,GasA,Ex,1337,2,1,TA,5,0,,405,TA,TA,0,,,,0
245000,RL,10206,AllPub,Norm,Norm,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,1563,GasA,Ex,1563,3,1,Gd,6,1,Gd,758,TA,TA,0,,,,0
126500,RL,8892,AllPub,Norm,Norm,5,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,1065,GasA,Gd,1065,3,1,TA,6,0,,461,TA,TA,0,,,,0
168500,RL,8530,AllPub,Norm,Norm,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,384,GasA,Gd,1474,3,1,TA,7,1,TA,400,TA,TA,0,,,Shed,700
260000,RL,16059,AllPub,Norm,Norm,8,5,1991,1992,Hip,CompShg,HdBoard,HdBoard,Gd,TA,CBlock,Gd,TA,1288,GasA,Ex,2417,4,1,Gd,9,1,TA,462,TA,TA,0,,,,0
174000,RL,11911,AllPub,Norm,Norm,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,684,GasA,Ex,1560,3,1,Gd,6,1,Gd,400,TA,TA,0,,,,0
164500,FV,3951,AllPub,Norm,Norm,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,612,GasA,Ex,1224,2,1,Gd,4,0,,528,TA,TA,0,,,,0
85000,C (all),8470,AllPub,Feedr,Feedr,3,2,1915,1982,Hip,CompShg,Plywood,Plywood,Fa,Fa,CBlock,TA,Fa,1013,GasA,TA,1526,2,1,Fa,6,0,,0,,,0,,MnPrv,,0
123600,RL,8070,AllPub,Norm,Norm,4,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,990,GasA,Ex,990,3,1,TA,5,0,,0,,,0,,,,0
109900,RL,7200,AllPub,Norm,Norm,4,5,1950,1950,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,Slab,,,0,GasA,TA,1040,2,1,TA,4,0,,420,TA,TA,0,,,,0
98600,RL,8500,AllPub,Norm,Norm,5,3,1961,1961,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,1235,GasA,TA,1235,2,1,TA,6,0,,480,TA,TA,0,,GdWo,,0
163500,RL,13360,AllPub,Norm,Norm,5,7,1921,2006,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Gd,BrkTil,Gd,TA,876,GasA,Ex,964,2,1,TA,5,0,,432,TA,TA,0,,,,0
133900,C (all),7200,AllPub,Norm,Norm,6,6,1910,1998,Hip,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,Fa,1214,GasW,Ex,2291,4,2,TA,9,1,Gd,506,TA,TA,0,,,,0
204750,RL,9337,AllPub,Norm,Norm,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,Gd,PConc,Gd,TA,824,GasA,Ex,1786,3,1,Gd,7,0,,684,TA,TA,0,,,,0
185000,RL,9765,AllPub,Norm,Norm,6,8,1993,1993,Gable,CompShg,VinylSd,VinylSd,Ex,Gd,PConc,Gd,Gd,680,GasA,Gd,1470,3,1,TA,6,1,TA,420,TA,TA,0,,,Shed,480
214000,RL,10264,AllPub,Norm,Norm,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1588,GasA,Ex,1588,3,1,Gd,6,0,,472,TA,TA,0,,,,0
94750,RL,10921,AllPub,Norm,Norm,4,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,960,GasA,TA,960,3,1,TA,6,0,,432,TA,TA,0,,,,0
83000,RL,10625,AllPub,Norm,Norm,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,458,GasA,Fa,835,2,1,TA,5,0,,366,Fa,TA,0,,,Shed,400
128950,RL,9320,AllPub,Norm,Norm,4,5,1959,1959,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,TA,TA,950,GasA,Fa,1225,3,1,TA,6,0,,0,,,0,,,Shed,400
205000,RL,10603,AllPub,Norm,Norm,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,TA,TA,PConc,TA,TA,1610,GasA,Gd,1610,3,1,Gd,6,2,TA,480,TA,TA,0,,,,0
178000,RL,9206,AllPub,Norm,Norm,6,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,Gd,TA,CBlock,Gd,TA,741,GasA,TA,1732,3,1,Gd,7,1,TA,476,TA,TA,0,,,,0
118964,RL,7018,AllPub,Norm,Norm,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,TA,Fa,Slab,,,0,GasA,TA,1535,4,2,TA,8,0,,410,TA,TA,0,,,,0
198900,RL,10402,AllPub,Norm,Norm,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,1226,GasA,Ex,1226,3,1,Gd,6,0,,740,TA,TA,0,,,,0
169500,RM,7758,AllPub,Norm,Norm,7,4,1931,1950,Gable,CompShg,Stucco,Stucco,TA,Fa,PConc,TA,TA,1040,GasA,Ex,1818,4,1,TA,7,2,TA,240,TA,TA,0,,,,0
250000,FV,9375,AllPub,Norm,Norm,8,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1053,GasA,Ex,1992,3,1,Gd,9,1,Gd,648,TA,TA,0,,,,0
100000,RM,10800,AllPub,Norm,Norm,4,7,1885,1995,Mansard,CompShg,VinylSd,VinylSd,TA,TA,BrkTil,Fa,TA,641,GasA,Gd,1047,2,1,TA,6,0,,273,Fa,Fa,0,,,Shed,450
115000,RM,6000,AllPub,Norm,Norm,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,789,GasA,Ex,789,2,1,TA,5,0,,250,TA,TA,0,,,,0
115000,RM,8500,AllPub,Artery,Norm,5,7,1919,2005,Gable,CompShg,CemntBd,CmentBd,TA,TA,CBlock,TA,TA,793,GasW,TA,1517,3,1,Fa,7,0,,0,,,0,,,,0
190000,RL,11751,AllPub,Norm,Norm,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,TA,TA,CBlock,Gd,TA,1844,GasA,Ex,1844,3,1,TA,7,1,TA,546,TA,TA,0,,MnPrv,,0
136900,RL,9525,AllPub,Norm,Norm,6,4,1954,1972,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,Fa,994,GasA,Gd,1855,4,1,TA,7,0,,325,TA,TA,0,,,,0
180000,RL,7750,AllPub,Norm,Norm,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,384,GasA,Ex,1430,3,1,TA,7,1,TA,400,TA,TA,0,,,,0
383970,RL,9965,AllPub,Norm,Norm,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1264,GasA,Ex,2696,4,1,Ex,10,1,Gd,792,TA,TA,0,,,,0
217000,RL,21000,AllPub,Norm,Norm,6,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,TA,Gd,CBlock,Gd,TA,1809,GasA,TA,2259,3,1,Gd,7,2,Gd,450,TA,TA,0,,MnPrv,,0
259500,RL,7259,AllPub,Norm,Norm,6,8,1945,2002,Gambrel,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,1028,GasA,Ex,2320,3,1,Gd,9,1,TA,180,TA,TA,0,,MnPrv,,0
176000,FV,3230,AllPub,Norm,Norm,6,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,729,GasA,Gd,1458,2,1,TA,5,1,Fa,440,TA,TA,0,,,,0
139000,RL,11616,AllPub,Norm,Norm,5,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,1092,GasA,TA,1092,3,1,TA,6,1,Po,288,TA,TA,0,,,,0
155000,RL,8536,AllPub,Norm,Norm,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,1125,GasA,Gd,1125,2,1,TA,5,0,,430,TA,TA,0,,,,0
